Marital_status,Application_mode,Application_order,Course,schedule_attendance,Previous_qualification,Previous_qualification_grade,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,Mature and International Students,High Preference,Animation and Multimedia Design,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,100.0,no,no,yes,yes,male,yes,33,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,115.0,Portuguese,Medium-Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,112.9,yes,no,no,no,male,no,19,no,0,5,7,2,12.5,0,0,5,13,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,General Admission Phases,High Preference,Veterinary Nursing,evening,High School Level,120.0,Portuguese,Low Educated,Medium-Low Educated,Unskilled Labor,Professional/Managerial,112.7,no,no,no,yes,male,no,19,no,0,6,7,6,14.86,0,0,6,8,6,14.14,0,11.1,0.6,2.02,Non Dropout
divorced,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,143.0,no,no,no,yes,male,no,37,no,3,9,13,8,12.0,0,2,7,8,7,11.57,0,12.7,3.7,-1.7,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,168.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,155.1,yes,no,yes,no,male,yes,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Non Dropout
divorced,Mature and International Students,High Preference,Management,daytime,High School Level,130.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,127.6,no,no,no,yes,male,no,29,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Non Dropout
married,Mature and International Students,High Preference,Nursing,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Professional/Managerial,146.6,no,no,no,yes,male,no,37,no,0,7,8,7,12.83,0,0,8,8,8,12.69,0,13.9,-0.3,0.79,Non Dropout
single,Mature and International Students,High Preference,Nursing,evening,High School Level,137.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,141.0,no,no,no,yes,male,no,36,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,123.0,Portuguese,Medium Educated,Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,120.6,yes,no,no,yes,male,no,19,no,0,6,6,6,13.33,0,0,6,8,5,14.0,0,8.9,1.4,3.51,Non Dropout
single,Transfers and Course Changes,High Preference,Nursing,evening,High School Level,150.0,Portuguese,Medium-Low Educated,Medium Educated,Unskilled Labor,Professional/Managerial,110.0,yes,no,no,yes,male,yes,33,no,6,14,20,14,13.07,6,6,14,20,14,13.07,6,9.4,-0.8,-3.12,Non Dropout
single,Transfers and Course Changes,High Preference,Informatics Engineering,evening,High School Level,120.0,Portuguese,Medium Educated,Medium Educated,Service/Sales,Machine/Vehicle Operators,108.6,no,no,no,no,male,no,34,no,2,7,13,5,12.0,0,2,7,7,3,11.0,0,15.5,2.8,-4.06,Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,145.0,Portuguese,High Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,134.9,yes,no,no,yes,female,no,18,no,0,6,6,6,15.5,0,0,6,6,6,16.0,0,12.4,0.5,1.79,Non Dropout
single,Prior Higher Education Holders,High Preference,Equinculture,evening,Specialized Technical,120.0,Portuguese,High Educated,Medium Educated,Professional/Managerial,Professional/Managerial,120.0,yes,no,no,yes,female,no,20,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,142.0,Portuguese,Medium-Low Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,141.3,no,no,no,yes,female,yes,19,no,0,6,7,6,14.71,0,0,6,6,6,15.17,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,Medium Preference,Veterinary Nursing,evening,High School Level,147.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Professional/Managerial,135.6,yes,no,no,yes,female,no,20,no,0,6,7,6,16.71,0,0,6,6,6,15.33,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,125.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,121.5,yes,no,no,yes,female,yes,19,no,0,6,9,6,10.86,0,0,6,7,6,11.67,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,126.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,125.0,yes,no,no,yes,female,no,19,no,0,7,8,6,11.66,0,0,8,11,6,12.42,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,132.0,Africa,Low Educated,Medium-Low Educated,Unskilled Labor,Machine/Vehicle Operators,119.1,yes,no,no,yes,female,yes,22,yes,0,6,8,5,11.6,0,0,6,7,6,12.0,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,122.0,Portuguese,Medium Educated,Medium Educated,Service/Sales,Machine/Vehicle Operators,126.6,yes,no,no,yes,female,no,18,no,0,6,8,6,14.62,0,0,6,9,6,14.14,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,123.0,Portuguese,Medium Educated,Low Educated,Unskilled Labor,Unskilled Labor,116.7,no,no,no,yes,female,yes,18,no,0,6,6,6,12.17,0,0,6,8,6,12.67,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,126.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,120.1,yes,no,no,yes,female,no,19,no,0,7,12,4,13.38,0,0,7,8,6,12.12,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,High Preference,Basic Education,evening,High School Level,128.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,124.9,no,no,no,yes,female,yes,19,no,0,6,6,6,12.5,0,0,6,6,6,12.83,0,12.7,3.7,-1.7,Non Dropout
single,Mature and International Students,High Preference,Nursing,evening,High School Level,100.0,Portuguese,Medium-Low Educated,Medium Educated,Professional/Managerial,Others,114.0,yes,no,yes,no,female,no,31,no,0,7,8,5,12.56,0,0,7,8,5,12.56,0,7.6,2.6,0.32,Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,140.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,131.1,yes,no,no,yes,female,no,18,no,0,7,7,7,13.19,0,0,8,8,8,14.23,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,145.0,Portuguese,Medium Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,129.3,no,no,yes,yes,female,yes,19,no,0,6,11,3,11.0,0,0,6,9,4,11.25,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,143.0,Portuguese,High Educated,Low Educated,Professional/Managerial,Military,129.7,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,132.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Service/Sales,120.8,no,no,no,yes,female,yes,19,no,0,6,11,5,11.6,0,0,6,10,6,11.71,0,15.5,2.8,-4.06,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,130.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Agriculture,135.0,no,no,no,yes,female,no,19,no,0,7,7,6,14.27,0,0,7,7,6,14.27,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,129.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,117.8,no,no,no,yes,female,yes,19,no,0,5,6,4,11.0,0,0,5,9,4,13.86,0,10.8,1.4,1.74,Non Dropout
married,Prior Higher Education Holders,High Preference,Social Service,daytime,Bachelor Level,124.4,Portuguese,Low Educated,Unknown,Student,Student,130.0,no,no,no,yes,female,no,30,no,8,10,11,9,12.67,0,3,7,7,7,12.43,1,7.6,2.6,0.32,Non Dropout
single,Transfers and Course Changes,High Preference,Journalism and Communication,evening,High School Level,127.0,Portuguese,Medium-Low Educated,Medium Educated,Service/Sales,Service/Sales,117.6,yes,no,no,yes,female,no,18,no,0,6,6,0,0.0,0,0,6,10,3,11.0,0,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,Low Preference,Nursing,evening,High School Level,144.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Agriculture,130.8,yes,no,no,yes,female,no,18,no,0,8,11,7,12.77,0,0,8,11,7,12.77,0,12.7,3.7,-1.7,Non Dropout
single,General Admission Phases,Medium Preference,Veterinary Nursing,evening,High School Level,121.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,111.9,yes,no,no,yes,female,no,21,no,0,5,12,0,0.0,3,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Prior Higher Education Holders,High Preference,Social Service,evening,High School Level,150.0,Portuguese,Medium Educated,Low Educated,Professional/Managerial,Unskilled Labor,145.9,no,no,no,yes,female,yes,19,no,3,6,6,6,15.5,0,2,6,7,6,13.57,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,115.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,109.1,yes,no,no,yes,female,yes,19,no,0,6,7,6,13.29,0,0,6,9,5,14.6,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,125.0,Portuguese,High Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,120.3,yes,no,no,yes,female,no,19,no,0,7,11,5,11.72,0,0,7,8,5,13.7,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Equinculture,evening,High School Level,117.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Professional/Managerial,Professional/Managerial,113.5,yes,no,no,yes,female,no,19,no,0,6,8,6,11.33,0,0,6,12,4,13.75,0,8.9,1.4,3.51,Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,121.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,135.4,yes,no,no,yes,female,yes,19,no,0,6,6,6,13.33,0,0,6,10,5,13.4,0,8.9,1.4,3.51,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,130.2,no,no,no,yes,female,yes,39,no,0,5,13,4,12.33,0,0,5,14,2,10.0,4,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,High Preference,Communication Design,evening,High School Level,129.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,136.4,yes,no,no,yes,female,no,18,no,0,6,6,6,12.33,0,0,6,6,6,12.83,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,130.0,Portuguese,High Educated,Medium Educated,Unskilled Labor,Unskilled Labor,126.9,yes,no,no,yes,female,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,General Admission Phases,Medium Preference,Management,evening,High School Level,131.0,Portuguese,Medium-Low Educated,Low Educated,Professional/Managerial,Military,119.8,yes,no,no,yes,female,no,19,no,0,5,8,5,12.6,0,0,5,9,4,11.6,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Medium Preference,Management,evening,High School Level,137.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Machine/Vehicle Operators,124.4,yes,no,no,yes,female,no,18,no,0,5,5,5,12.6,0,0,5,5,4,11.0,0,11.1,0.6,2.02,Non Dropout
married,Mature and International Students,High Preference,Agronomy,evening,High School Level,150.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,120.0,no,no,yes,no,female,no,34,no,1,6,10,6,14.33,0,0,6,9,6,12.83,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,117.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,111.8,no,no,no,yes,female,no,22,no,0,5,8,3,12.0,0,0,5,9,2,11.0,1,7.6,2.6,0.32,Non Dropout
single,Mature and International Students,High Preference,Veterinary Nursing,evening,High School Level,133.1,Portuguese,Medium-Low Educated,Medium-Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,130.0,yes,no,no,yes,female,no,24,no,0,6,7,6,14.86,0,0,6,10,5,13.6,0,13.9,-0.3,0.79,Non Dropout
married,Transfers and Course Changes,High Preference,Management,evening,High School Level,130.0,Portuguese,Medium-Low Educated,Low Educated,Machine/Vehicle Operators,Military,138.0,no,no,no,yes,female,no,34,no,12,15,17,12,11.92,0,11,13,13,11,13.18,0,7.6,2.6,0.32,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,110.0,Portuguese,Unknown,Unknown,Student,Student,114.6,yes,no,no,yes,female,no,46,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
married,Mature and International Students,High Preference,Management,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,108.0,no,no,no,yes,female,no,50,no,0,5,12,3,13.33,1,0,5,8,5,12.2,0,9.4,-0.8,-3.12,Non Dropout
single,Mature and International Students,High Preference,Management,daytime,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Service/Sales,140.0,no,no,no,no,female,no,37,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General Admission Phases,High Preference,Veterinary Nursing,evening,High School Level,148.0,Portuguese,Low Educated,Medium-Low Educated,Professional/Managerial,Unskilled Labor,134.7,yes,no,no,yes,female,no,18,no,0,6,6,6,17.0,0,0,6,6,6,15.5,0,8.9,1.4,3.51,Non Dropout
single,Mature and International Students,High Preference,Veterinary Nursing,evening,High School Level,130.0,Portuguese,Low Educated,Low Educated,Agriculture,Agriculture,110.0,no,no,no,yes,female,yes,25,no,0,6,13,3,11.67,0,0,6,14,2,11.33,0,11.1,0.6,2.02,Non Dropout
married,Mature and International Students,High Preference,Agronomy,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,104.8,no,no,no,yes,female,no,46,no,14,19,24,19,12.21,0,11,13,13,13,11.38,0,15.5,2.8,-4.06,Non Dropout
married,Mature and International Students,High Preference,Communication Design,evening,High School Level,160.0,Portuguese,High Educated,Medium Educated,Professional/Managerial,Service/Sales,126.5,no,no,no,yes,female,yes,30,no,1,6,8,6,13.0,1,0,6,9,5,12.86,0,13.9,-0.3,0.79,Non Dropout
divorced,General Admission Phases,High Preference,Management,daytime,High School Level,130.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,118.1,no,no,yes,no,female,no,37,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,120.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,119.9,no,no,no,yes,female,no,50,no,0,5,9,2,10.5,0,0,5,7,3,11.0,0,12.7,3.7,-1.7,Non Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Specialized Technical,160.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,160.0,yes,no,no,yes,female,no,20,no,0,6,7,6,13.57,0,0,6,9,6,12.71,0,12.4,0.5,1.79,Non Dropout
married,Mature and International Students,High Preference,Oral Hygiene,evening,High School Level,133.1,Portuguese,Unknown,Unknown,Others,Others,100.5,no,no,no,yes,female,no,39,no,0,3,7,1,14.0,0,0,2,4,0,0.0,0,11.1,0.6,2.02,Dropout
married,Mature and International Students,High Preference,Journalism and Communication,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,110.0,no,no,no,no,female,no,53,no,0,5,5,0,0.0,0,0,4,5,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Transfers and Course Changes,High Preference,Management,evening,High School Level,100.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,100.0,yes,no,no,yes,female,no,54,no,13,15,20,13,12.46,1,10,13,13,10,11.1,1,15.5,2.8,-4.06,Dropout
single,Prior Higher Education Holders,High Preference,Veterinary Nursing,evening,Specialized Technical,140.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,140.0,yes,no,no,yes,female,no,19,no,0,6,8,4,14.4,0,0,6,6,5,13.0,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,109.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,109.0,yes,no,no,no,female,no,20,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,General Admission Phases,Medium Preference,Journalism and Communication,evening,High School Level,130.0,Portuguese,Medium Educated,Low Educated,Professional/Managerial,Service/Sales,120.9,yes,no,yes,yes,female,no,18,no,0,6,6,6,14.33,0,0,6,6,6,14.17,0,8.9,1.4,3.51,Non Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Specialized Technical,130.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,125.8,no,no,yes,yes,female,no,21,no,7,13,21,11,11.91,0,5,11,14,11,10.73,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Medium Preference,Communication Design,evening,High School Level,164.0,Portuguese,Medium Educated,Medium Educated,Service/Sales,Professional/Managerial,161.2,yes,no,no,yes,female,no,18,no,1,6,8,6,13.71,1,0,6,8,6,14.38,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,125.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Military,122.0,yes,no,yes,yes,female,no,19,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,137.0,Portuguese,Medium Educated,Medium Educated,Unskilled Labor,Unskilled Labor,127.9,yes,no,no,yes,female,yes,18,no,0,7,10,5,13.46,0,0,7,8,7,12.24,0,11.1,0.6,2.02,Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,133.0,Portuguese,Medium Educated,High Educated,Professional/Managerial,Professional/Managerial,135.8,yes,no,no,yes,female,no,19,no,0,6,6,6,15.0,0,0,6,6,6,13.33,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,163.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,149.7,yes,no,no,yes,female,yes,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,160.0,Portuguese,High Educated,Medium Educated,Professional/Managerial,Professional/Managerial,137.3,yes,no,no,yes,female,no,19,no,0,6,7,5,13.4,0,0,6,6,5,12.8,0,12.7,3.7,-1.7,Non Dropout
divorced,Transfers and Course Changes,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Unknown,Unknown,Student,Student,106.0,yes,no,no,yes,female,no,48,no,0,6,9,5,13.0,0,0,6,10,4,12.5,0,7.6,2.6,0.32,Non Dropout
divorced,Transfers and Course Changes,High Preference,Social Service,evening,High School Level,120.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,110.0,no,no,yes,yes,female,no,34,no,0,6,13,4,11.25,0,0,6,8,4,13.75,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Veterinary Nursing,evening,High School Level,140.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,146.4,no,no,no,yes,female,no,18,no,0,5,5,5,12.6,0,0,5,7,5,11.6,0,7.6,2.6,0.32,Non Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,121.0,no,no,no,yes,female,no,50,no,0,6,8,6,12.67,0,0,6,6,6,11.83,0,10.8,1.4,1.74,Non Dropout
single,Transfers and Course Changes,High Preference,Basic Education,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Agriculture,Agriculture,125.2,no,no,yes,yes,female,no,41,no,20,21,23,21,12.33,0,19,19,19,19,12.11,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,115.0,Portuguese,Medium Educated,Medium Educated,Service/Sales,Service/Sales,119.6,yes,no,no,yes,female,yes,22,no,0,6,11,5,12.0,0,0,6,11,5,11.0,0,7.6,2.6,0.32,Dropout
divorced,Mature and International Students,High Preference,Management,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,142.8,no,no,no,yes,female,no,43,no,0,5,5,5,16.4,0,0,5,5,5,16.6,0,7.6,2.6,0.32,Non Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,High Educated,Medium-Low Educated,Others,Others,123.5,no,no,no,yes,female,no,50,no,0,1,1,0,0.0,1,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Mature and International Students,High Preference,Agronomy,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,100.0,no,no,no,yes,female,no,60,no,0,6,10,6,12.75,0,0,6,6,4,14.75,0,13.9,-0.3,0.79,Non Dropout
married,Mature and International Students,High Preference,Management,evening,High School Level,110.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Military,140.0,no,no,no,yes,female,no,41,no,0,5,14,4,14.5,1,0,5,12,5,13.0,0,9.4,-0.8,-3.12,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,150.3,no,no,no,yes,female,no,47,no,0,5,5,5,14.8,0,0,5,5,5,14.4,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,Bachelor Level,116.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,128.2,no,no,no,yes,female,no,22,no,12,17,22,17,10.37,0,14,17,18,17,11.5,0,11.1,0.6,2.02,Non Dropout
married,Mature and International Students,High Preference,Nursing,evening,High School Level,110.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,114.3,no,no,no,yes,female,no,41,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,10.8,1.4,1.74,Dropout
married,Transfers and Course Changes,High Preference,Management,daytime,High School Level,140.0,Portuguese,Low Educated,Low Educated,Service/Sales,Agriculture,117.3,no,no,no,yes,female,no,28,no,6,10,15,6,10.67,0,5,10,17,9,11.33,1,7.6,2.6,0.32,Non Dropout
others,Transfers and Course Changes,High Preference,Tourism,evening,Bachelor Level,120.0,Portuguese,Low Educated,Low Educated,Professional/Managerial,Unskilled Labor,120.0,no,no,no,yes,female,no,32,no,9,15,21,13,12.69,0,12,15,22,13,12.38,0,10.8,1.4,1.74,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Unknown,Others,Others,110.7,yes,no,no,yes,female,no,50,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Transfers and Course Changes,High Preference,Management,evening,High School Level,160.0,Portuguese,Medium Educated,Low Educated,Unskilled Labor,Military,118.0,no,no,no,yes,female,no,53,no,14,15,15,15,11.8,0,12,13,13,12,11.67,1,8.9,1.4,3.51,Non Dropout
single,Mature and International Students,High Preference,Oral Hygiene,evening,High School Level,133.1,European (Non-Portuguese),High Educated,High Educated,Professional/Managerial,Professional/Managerial,169.2,no,no,yes,no,female,no,54,yes,0,7,7,0,0.0,0,0,5,10,0,0.0,0,12.4,0.5,1.79,Dropout
single,Mature and International Students,High Preference,Social Service,daytime,High School Level,120.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,106.8,no,no,no,yes,female,no,49,no,0,6,9,5,12.33,0,0,6,12,4,11.5,0,13.9,-0.3,0.79,Non Dropout
married,Transfers and Course Changes,High Preference,Basic Education,evening,High School Level,133.1,Portuguese,Low Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,100.0,no,no,no,yes,female,no,34,no,6,12,18,11,13.0,0,4,13,22,8,11.88,0,12.7,3.7,-1.7,Dropout
divorced,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,144.5,no,no,no,yes,female,no,45,no,0,6,13,4,12.5,0,0,6,8,3,11.67,0,16.2,0.3,-0.92,Dropout
divorced,Mature and International Students,High Preference,Social Service,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,134.5,no,no,no,yes,female,yes,47,no,0,6,8,5,12.2,0,0,6,10,4,11.25,0,12.4,0.5,1.79,Non Dropout
single,Transfers and Course Changes,High Preference,Social Service,evening,High School Level,122.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Service/Sales,Service/Sales,114.3,yes,no,no,yes,female,no,22,no,5,10,15,8,11.0,0,2,7,16,5,11.2,0,9.4,-0.8,-3.12,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,113.4,no,no,no,yes,female,no,33,no,0,5,14,1,10.0,0,0,5,13,2,12.0,0,12.4,0.5,1.79,Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,140.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,128.0,no,no,no,yes,female,yes,43,no,0,6,7,6,12.33,0,0,6,8,6,11.5,0,8.9,1.4,3.51,Non Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Bachelor Level,120.0,Portuguese,Low Educated,Low Educated,Agriculture,Agriculture,120.0,no,no,no,yes,female,no,54,no,9,13,13,13,14.31,0,5,12,15,12,15.23,0,15.5,2.8,-4.06,Non Dropout
single,Mature and International Students,High Preference,Social Service,daytime,Bachelor Level,130.0,Portuguese,Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,147.5,no,no,no,yes,female,no,39,no,7,11,13,11,14.45,0,6,8,8,8,13.5,0,12.7,3.7,-1.7,Non Dropout
